Wall time,Step,Value
1757761300.6206622,5310000000,77.87850952148438
1757761362.0269253,5323200000,77.88584899902344
1757761406.7536495,5332800000,77.85064697265625
1757761468.3204613,5346000000,77.8294906616211
1757761535.42078,5360400000,78.03974151611328
1757761664.064318,5388000000,78.1024169921875
1757761697.6127715,5395200000,78.16027069091797
1757761719.961601,5400000000,78.04210662841797
1757761803.87747,5418000000,77.71968078613281
1757761837.4192476,5425200000,78.01277160644531
1757761854.181545,5428800000,78.0829086303711
1757761865.4320579,5431200000,78.10517120361328
1757761921.6387212,5443200000,78.115234375
1757761944.1699793,5448000000,78.02371978759766
1757761966.564782,5452800000,78.29692840576172
1757761972.1777813,5454000000,78.2281265258789
1757762073.1319957,5475600000,78.23146057128906
1757762084.3720863,5478000000,78.0586166381836
1757762106.8065197,5482800000,77.99998474121094
1757762140.4416761,5490000000,78.23822021484375
1757762185.2720978,5499600000,77.98625946044922
1757762241.3070264,5511600000,78.03343200683594
1757762319.6928422,5528400000,78.10252380371094
1757762336.4884176,5532000000,77.95906066894531
1757762353.3038266,5535600000,78.00816345214844
1757762560.7245119,5580000000,78.17340850830078
1757762588.7346315,5586000000,78.15892791748047
1757762611.1633437,5590800000,78.22540283203125
1757762616.7899919,5592000000,78.27517700195312
1757762633.5837803,5595600000,78.30824279785156
1757762661.6287959,5601600000,78.27182006835938
1757762723.2307289,5614800000,78.43010711669922
1757762768.1263237,5624400000,78.424560546875
1757762790.5490692,5629200000,78.4189453125
1757762801.7684338,5631600000,78.35084533691406
1757762835.4107416,5638800000,78.28245544433594
1757762880.243289,5648400000,78.41118621826172
1757762885.8943863,5649600000,78.50849151611328
1757762919.5902648,5656800000,78.47639465332031
1757762936.4385672,5660400000,78.25083923339844
1757763015.0121415,5677200000,78.34854125976562
1757763054.3865564,5685600000,78.33502960205078
1757763177.843385,5712000000,78.23999786376953
1757763217.1610394,5720400000,78.25325775146484
1757763250.8365996,5727600000,78.15402221679688
1757763273.2546456,5732400000,78.23888397216797
1757763278.8646147,5733600000,78.22187805175781
1757763351.7214322,5749200000,78.26317596435547
1757763430.2786882,5766000000,78.46695709228516
1757763447.1528347,5769600000,78.44757843017578
1757763463.9827127,5773200000,78.51637268066406
1757763475.1887093,5775600000,78.42373657226562
1757763486.410335,5778000000,78.34913635253906
1757763576.26021,5797200000,78.33081817626953
1757763587.465408,5799600000,78.2237548828125
1757763598.6415942,5802000000,78.3122787475586
1757763604.2416954,5803200000,78.5408706665039
1757763609.8424208,5804400000,78.52064514160156
1757763649.1281257,5812800000,78.49784851074219
1757763654.721308,5814000000,78.39785766601562
1757763755.7799582,5835600000,78.34285736083984
1757763867.752697,5859600000,78.34317016601562
1757763940.7184687,5875200000,78.611083984375
1757764013.5975325,5890800000,78.44356536865234
1757764024.889804,5893200000,78.27326965332031
1757764131.670633,5916000000,78.50395202636719
1757764154.1803482,5920800000,78.46646118164062
1757764193.475081,5929200000,78.4902572631836
1757764215.9498668,5934000000,78.43461608886719
1757764244.079523,5940000000,78.41354370117188
1757764418.377443,5977200000,78.61170959472656
